Timestamp,Symbol,Side,Quantity,Price
2024-07-01 09:31:23,NFLX,SELL,829,450.65
2024-07-01 09:31:43,MSFT,SELL,130,328.76
2024-07-01 09:33:03,NVDA,BUY,916,408.7
2024-07-01 09:33:40,MSFT,SELL,418,349.12
2024-07-01 09:34:15,NFLX,SELL,639,455.5
2024-07-01 09:34:20,META,BUY,217,301.92
2024-07-01 09:35:20,TSLA,BUY,461,256.43
2024-07-01 09:36:03,NFLX,SELL,131,447.78
2024-07-01 09:36:38,AAPL,BUY,554,185.36
2024-07-01 09:37:22,META,BUY,265,306.97
2024-07-01 09:38:24,GOOG,BUY,942,130.24
2024-07-01 09:39:09,GOOG,BUY,705,131.21
2024-07-01 09:40:38,AAPL,BUY,600,184.31
2024-07-01 09:41:20,NVDA,SELL,211,418.81
2024-07-01 09:41:49,MSFT,BUY,43,340.19
2024-07-01 09:43:11,NFLX,BUY,720,441.87
2024-07-01 09:43:14,AMZN,SELL,456,137.11
2024-07-01 09:44:06,NVDA,SELL,943,403.92
2024-07-01 09:44:45,AMZN,SELL,910,134.75
2024-07-01 09:44:55,GOOG,BUY,813,126.12
2024-07-01 09:45:11,GOOG,BUY,470,126.59
2024-07-01 09:45:52,NFLX,BUY,706,463.25
2024-07-01 09:45:59,GOOG,SELL,197,130.3
2024-07-01 09:46:08,NFLX,BUY,339,448.61
2024-07-01 09:46:41,TSLA,BUY,533,253.98
2024-07-01 09:46:44,MSFT,BUY,593,348.53
2024-07-01 09:47:32,MSFT,SELL,707,332.43
2024-07-01 09:47:44,META,SELL,654,301.11
2024-07-01 09:49:02,NVDA,BUY,866,417.99
2024-07-01 09:49:32,AAPL,SELL,164,190.36
2024-07-01 09:49:58,AAPL,SELL,175,197.7
2024-07-01 09:51:32,AMZN,SELL,560,132.26
2024-07-01 09:51:56,AAPL,BUY,855,194.39
2024-07-01 09:53:14,MSFT,BUY,333,344.32
2024-07-01 09:53:29,META,SELL,864,308.14
2024-07-01 09:55:07,AMZN,SELL,512,133.63
2024-07-01 09:56:32,NVDA,SELL,587,431.93
2024-07-01 09:57:16,NFLX,BUY,374,446.94
2024-07-01 09:57:24,NFLX,BUY,381,445.49
2024-07-01 09:59:25,NVDA,SELL,526,413.71
2024-07-01 09:59:35,AMZN,SELL,473,135.83
2024-07-01 10:00:03,META,SELL,132,303.8
2024-07-01 10:00:48,MSFT,BUY,273,332.05
2024-07-01 10:00:54,NVDA,BUY,806,409.33
2024-07-01 10:01:17,MSFT,SELL,265,336.01
2024-07-01 10:01:45,AMZN,SELL,650,132.4
2024-07-01 10:04:05,NFLX,SELL,539,438.16
2024-07-01 10:05:12,AAPL,SELL,238,190.2
2024-07-01 10:06:00,NVDA,SELL,835,403.53
2024-07-01 10:06:18,META,BUY,237,305.02
2024-07-01 10:06:23,NVDA,SELL,651,420.78
2024-07-01 10:09:25,NFLX,SELL,491,445.03
2024-07-01 10:09:52,AMZN,SELL,167,136.77
2024-07-01 10:12:05,MSFT,SELL,290,338.87
2024-07-01 10:13:33,NVDA,BUY,466,425.47
2024-07-01 10:13:40,TSLA,BUY,964,253.1
2024-07-01 10:14:14,GOOG,BUY,441,132.91
2024-07-01 10:14:14,AAPL,SELL,162,185.06
2024-07-01 10:14:17,MSFT,SELL,958,342.48
2024-07-01 10:15:38,MSFT,BUY,914,347.47
2024-07-01 10:16:08,GOOG,BUY,718,137.27
2024-07-01 10:16:22,AMZN,BUY,271,135.01
2024-07-01 10:17:47,TSLA,BUY,521,255.64
2024-07-01 10:19:32,MSFT,SELL,876,339.05
2024-07-01 10:19:35,GOOG,BUY,909,132.19
2024-07-01 10:19:35,NVDA,BUY,308,418.44
2024-07-01 10:19:53,META,SELL,438,309.32
2024-07-01 10:20:33,AMZN,SELL,326,135.82
2024-07-01 10:21:22,TSLA,BUY,112,255.13
2024-07-01 10:22:36,TSLA,SELL,498,246.35
2024-07-01 10:23:33,GOOG,SELL,196,132.57
2024-07-01 10:23:36,NFLX,BUY,431,452.32
2024-07-01 10:23:58,GOOG,SELL,862,127.97
2024-07-01 10:24:37,NFLX,BUY,772,443.96
2024-07-01 10:25:25,META,SELL,408,302.56
2024-07-01 10:25:25,AMZN,SELL,573,140.14
2024-07-01 10:25:47,NVDA,BUY,911,409.65
2024-07-01 10:26:11,AAPL,SELL,632,190.43
2024-07-01 10:26:55,TSLA,BUY,599,254.18
2024-07-01 10:27:42,AAPL,BUY,709,198.02
2024-07-01 10:29:36,META,SELL,93,297.43
2024-07-01 10:29:47,NVDA,SELL,117,407.52
